id;name;polica;delivery_24h
85;Candace Bushnell : 4 plavuše;KNJ25X2+knj42;0
86;Borislav Mrkšic: Avangarda umire mlada;207SKX3;0
89;Branimir Brljevic: Katarza;NOVAKI;1
90;Branimir Donat: Brbljava Sfinga;207SK;0
91;Branislav Glumac: The girl from Zagreb;N-ENG 16;0
92;Branko Hecimovic: Izabrane Slovenske drame;207SK;0
93;Bruno Popovic: Dan kao svaki drugi;207SKX3;0
94;Carla del Ponte i Chuck Sudetic: Gospoda tužiteljica;NRAT10;0
95;Carl Hiaasen : Klub slavnih;LJUB16+LJUB20;0
96;Carlos Castaneda : Unutrašnja vatra;ALT3X3;0
97;Carlos Fuentes: Sve sretne obitelji;SK18;1
98;Roman Krznaric: Carpe diem danas-Ponovno naucimo iskoristiti dan;NALT9;0
99;Cecelia Ahern: Hvala ti na uspomenama;NLJU2/LJUB27X4;0
101;Cecelia Ahern: Na kraju duge;212SDKX3+LJU27+LJUB32;0
102;Cecelia Ahern: P. S. Volim te;SK-U18X6+212DSX2+ljub20;0
103;Sesili fon Zigesar: Jer ja to zaslužujem Tracara 4;X0;0
104;Cecily Von Ziegesar: Tracerica 7- Nitko to ne radi bolje;N-DJEC59X7;0
106;Cedo Prica: Živjeti ispocetka;207SKX2;0
107;Charlaine Harris: Mrtvi do mraka;FAN5;0
108;Charles Frazier: Studengora;KRIM4X3+220SK;0
109;Chris Ewan: Vodic kroz Amsterdam za dobre lopove;KRIM4/5;0
110;Chris Womersley: Shrvan;N-KNJ 8;0
111;Claire Messud: Careva djeca;N-KNJ1X2;0
112;Colin Harrison: Soba Havana;NULL;0
113;Colin Renfrew: Pretpovijest- nastanak ljudskog uma;RAT0;0
114;Colum McCann: Neka se veliki svijet vrti;NULL;0
115;Andre Agassi: Razotkrivanje;N-MIX4x6;0
116;Cristina Caboni: Tragom parfema;LJU27+LJ35;0
118;Dan Brown: Da Vincijev kod;KRIM30/0/32+KRI.-SAS.;0
120;Dan Brown: Izgubljeni simbol;KRIM30;0
122;Danica Juricic Spasovic: Volim džudo, volim Sandru;DJEC 35;0
123;Daniela Trbovic : Hrvatica, majka, katolkinja, nepušacica...;KNJ36+219DSKX4;0
124;Daniel Jones: Muškarcina na kaucu;KNJ34;0
125;Daniel Kehlmann: Mjerenje svijeta;KNJ15X2;0
126;Danielle Steel: Osamljeni orao;NULL;0
127;Daniel Pennac : Diktator i visaljka;KNJ6;0
128;Dannie M. Martin- Sussman Y. Peter: Pocinio sam novinarstvo;RAT 1;0
129;Darren Shan: Saga o Darrenu Shanu 2- Vampirov pomocnik;FA7,FAN12X3;0
130;David Foenkinos: Misteriozni Henri Pick;N-KNJ30X2;0
131;David Gibbins : Atlantida;N-FAN 11;0
132;David Lodge: Razmjena;NULL;0
133;David Mitchell: Livada crnog Labuda;N-KNJ 30;0
134;David Nicholls : Glumac na cekanju;LJUB20/10;0
135;David Sedaris: Kad ste utopljeni u plamenu;FAN11;0
136;David Wroblewski: Prica o Edgaru Sawtelleu;NULL;0
137;Davor Šalat: Posrtanje za alibijem;N-KNJ 35;0
138;Davor Šalat: Zrcalni ogled;RAT 20;0
139;Da Vincijev kod dnevnik putovanja po motivima romana Dana Browna;KRIM30/32;0
140;Davor Špišic : Ples s mladom;KNJ15X2+219DSK;0
141;Dean Slavic: Ars moriendi;RAT 37;0
142;Dejan Šorak: Ja i Kalisto;KNJ112SK+KRIM3;0
143;Dejan Šorak: Kontrolna projekcija;217DSK+KRIM3;0
144;Dennis Lehane: Svetinja;214DSK+KRIM27;0
145;Diana Peckaj Vukovic : Dan koji ce Vam promijeniti život;ALT2;0
146;J. R. Ward : Pali andeli - Požuda;FA12;0
147;Elizabeth Chadwick : Najveci vitez;LJUB3;0
148;A. G. Riddle: Pošast s Atlantide;FAN11;0
149;Rainbow Rowell : Obožavateljica;LJUB8X3+SPD3X1;0
150;Abigail Gibbs: Vecera s vampirom;FAN9;0
151;Abraham Verghese : Vrata suza;LJUB2x2;0
152;A. G. Roemmers: Povratak mladog princa;DJEC 15;0
153;Alyssa Palombo: Violinist iz Venecije;LJUB6+211LSK;0
154;Anders de la Motte: Igra;KRIM21;0
155;Andrew Clover: Sve o ljubavi u tjedan dana;LJUB8+169LSK;0
156;Anna Sam : Muke jedne blagajnice;LJUB8X2;0
157;Annette Curtis Klause : Krv i cokolada;FAN 12;0
158;Barbara Wood : Sanjanje;LJUB8X4;0
159;Ben Mezrich : Slucajni milijarderi;LJUB2X7+210LSK;0
162;Caroline Graham: Smrt praznog covjeka;KRIM15;0
163;Cassandra Clare komplet Instrumentarij smrtnika 1-4 KOMPLET;STABLO 1X2;0
164;CJ Lyons: Linija života;KRI18;0
165;Cody McFadyen: U okovima tame,Covjek iz sjene,Tvornica Istine,Lice Smrti,Mracnija Strana 1-5 KOMPLET;STABLO 1;0
166;Colleen McCullough : Drugo ime za ljubav;LJUB4/LJUB8;0
167;Colleen McCullough: Prvi covjek rima I - Put casti;LJUB5+119SK;0
168;Collen McCullough: Prvi covjek Rima II - Put slave;ZNANJE;0
169;Conn Iggulden: Gospodari strijela;LJUB4;0
170;Conn Iggulden : Imperator IV - Bogovi rata;LJUB4+113SK+KRIM20;0
171;Conn Iggulden : Imperator III- Polje maceva;RAT 47;0
173;Brown, Dan: INFERNO MU;KRIM30+N-FAN11;0
174;Daniel Polansky: Ona koja ceka;NULL;0
175;Daniel Polansky: Sutra nece doci;NULL;0
176;Daniel Silva: Moskovska pravila;KRIM22;0
177;Dan Wells: Gospodin monstrum;KRIM18;0
178;David Baldacci: Meta;211LSK-KRIM20+KRI.-SAS.;0
179;David Baldacci: Nevini;KRIM17/19;0
180;David Baldacci: Odmazda;KRIM24;0
181;David Nicholls: Jedan dan;LJUB2;0
182;Deborah Lawrenson : Kuca vjetra i sjene;LJUB4X4+LJUB3;0
183;Dimitrije Popovic : Smrt Danila Kiša;KNJ33;0
184;Dinaw Mengestu: Lijepe stvari što se nebom gnijezde;LJUB26;0
185;Dino Bubicic : Od dilera do mistera;KNJ36;0
186;Dave Evans Bill Burnett: Dizajniraj svoj život;N-ALT 8;0
187;Donald James: Gatara;FAN17X2;0
188;Donald James: Monstrum;FAN 2X2;0
189;Doris Lessing: I ponovo ljubav;NULL;0
190;Dragan Pavelic: Proljece u karolinentalu;KNJ28;0
191;Drago Glamuzina : Tri;KNJ29;0
192;Dražen Ilincic : Neobican slucaj novinara N.;KNJ25;0
193;Dražen Mazar: Sendvic za gospodu;207SK;0
194;Dr. Barry Sears & Bill Lawren : Život u zoni;220DSKX3;0
195;Dr. Barry Sears i Bill Lawren: Život u zoni;ALT1;0
196;Dr. Chérie Carter- Scott : Ako je ljubav igra ovo su pravila;ALT1;0
197;Dr. Chérie Carter- Scott : Ako je srednja škola igra, evo kako kršiti pravila;AL1;0
198;Dr. Christiane Northrup: Tajni užici zrelosti;NULL;0
199;Dr. John Gray : Mars i Venera zauvijek zajedno;STABLO1+LJUB16;0
200;Dr. John Gray: Muškarci su s Marsa žene su s Venere;ALT1X3;0
202;Dr. Richard Carlson : Bez brige do zarade;NULL;0
203;Dr. Richard Carlson : Ne mari za male stvari... u domu svom;ALT1X7;0
204;Dr. Richard Carlson : Ne mari za male stvari... za muškarce;NULL;0
205;Dr. Richard Carlson : Ne mari za male stvari ....na poslu;NULL;0
206;RICHARD CARLSON, KRISTINE CARLSON : NE MARI ZA MALE STVARI U LJUBAVI;ALT1X3;0
207;dr. Sc. David Niven : 100 jednostavnih tajni uspješnih ljudi;ALT8;0
208;Dubravko Detoni: Krajobraz nakon citanja Andersena;N-KNJ 1;0
209;Dubravko Horvatic: Olovna dolina;207SKX2;0
210;Dubravko Jelcic: Približavanje Sfingi;207SKX4;0
211;E. B. White: Labudova truba;N-DJEC59+DJEC17;0
213;Eckhart Tolle : Nova zemlja- osvješcivanje životne svrhe;N-ALT13/11+N-D;0
214;Eduardo Mendoza: Cudesno putovanje Pomponija Flata;KNJ3;0
215;Edward J. Larson: Evolucija kratka povijest;RAT0;0
216;Eirik Newth : Lov na istinu;NULL;0
217;E. K. Johnston: Vreteno;NSPL2+FA18;0
218;Eleanor de Jong : Dalila;101SK+LJUB9;0
219;Elfriede Jelinek : Naslada;KNJ25X2;0
221;Elin Hilderbrand : Ljetna romansa;LJUB2, LJUB5,LJUB3X2+211LSK;0
222;Elinor Lipman : Covjek kojega su dame voljele;LJUB19+LJUB20+LJUB11;0
223;Elizabeth Buchan : Žena u najboljim godinama;LJUB20X2+LJUB19;0
224;Elizabeth Chadwick: Utvrde i sjene;LJU8X2+219SKX3;0
225;Elizabeth Gilbert: Jedi moli voli;LJUB8;0
226;"Elizabeth Gilbert: Sudbonosno ""da""";LJUB31;0
227;Elizabeth Miles: Furija;LJUB4+210LSK;0
228;Elizabeth Strout: Olive Kitteridge;KRIM20;0
229;E L James: Pedeset nijansi sive;LJU35X3+SK29;0
230;E L James: Pedeset nijansi 1-3 KOMPLET;STABLO 1x4;0
231;Emanuele Trevi: Nešto napisano;LJU26X2+N-KNJ2;0
232;Emil Andreev: Staklena rijeka;N-KNJ 38;0
233;Emilio Calderón: Židov iz Šangaja;N-KRIM 11X2;0
234;Emily Giffin: Nešto posudeno;STABLO1;0
235;Emily Giffin : Voli onog s kim si;LJUB11X2+LJUB2+118SK+LJUB19;0
236;Emily Herbert : Lady Gaga;KNJ36;0
237;Emir Imamovic Pirke: Vršenje dužnosti;NULL;0
238;Emma Straub: Na odmoru;LJU32X3+N-LJUB;0
239;Enver Krivac: Ništa za pisati kuci;KRIM1;0
241;Ernesto Mallo: Argentinac;KRIM29;0
242;Ernesto Mallo: Zlocin u židovskoj cetvrti;KRIM20;0
243;IGOR MRDULJAŠ: Erotske narodne pjesme: Kudilja i vreteno;207SK;0
244;Ervin Jahic: Kristali Afganistana;N-KNJ 34;0
245;Esteban Martin : Gaudijev kljuc;KRI21;0
246;Esther Vilar: Pravo na drugu ženu;x0;0
247;Evelina Rudan : Pristojne ptice;KNJ15;0
248;Fadil Hadžic: Crveni mozak;NULL;0
249;Federica Bosco: Ljubav me progoni;LJUB6/4X2+169LSK;0
250;Federica Bosco: Ljubav nije za mene;LJUB3;0
251;Federico Andahazi: Milosnice;N-KNJ33+STALAK;0
252;Filip Corlukic: Quo vadis homo;N-FA21X2+RAT26;0
253;Fiona Paul : Otrov;LJUB3X4;0
254;Florence Hartmann: Mir i kazna;NRAT11, RAT32, SK5;1
255;Frances Mayes: Pod suncem Toskane;LJUB19X2;0
256;Francesc Miralles: Retrum;FAN18;0
257;Frank Gonzáles- Crussi: Medicina- kratka povijest;NULL;0
258;Frank Kermode: Shakespeareovo doba;RAT20;0
259;Frank McCorth: Irac u New Yorku;LJUB35;0
260;Frédéric Beigbeder : Ljubav traje tri godine;KNJ27;0
261;F. X. Toole: Djevojka od milijun dolara;KRIM4X2+221SK;0
262;Gabriel Garcia Marquez: Dvanaest hodocasnika;NSTABLO1+KNJ13;0
263;Gabriel Garcia Marquez: Ljubav u doba kolere;KNJ30;0
265;Gabriel Garcia Marquez : Zla kob;N-KNJ 34;0
266;Gabrielle Kimm : Moja posljednja vojvotkinja;LJUB2X3+LJUB4+101SK;0
267;Gari Kasparov: Zima dolazi;NULL;0
268;Gayle Forman:  Ako ostanem;LJUB8;0
269;Gayle Forman : Kamo je otišla;LJUB3X2+119SK+LJUB17+LJUB111SK;0
270;George Dawes Green: Porotnica;KRIM7+N-FAN 4;0
271;George D. Green: Valentinovo spiljskog covjeka;KRIM3;0
272;Georges Simenon: Maigret KONJUŠAR S PROVIDENCE/ OBJEŠENI SA SAINT-PHOLIENA/ POKOJNI GOSPODIN GALLET/ PIETR LETONAC;STABLO 2;0
273;Georgette Heyer : Cudesna Sophy;LJUB4;0
274;Gerbrand Bakker: Gore je tiho;N-KNJ6X2;0
275;G. G. Márquez: Miris Guayabe- razgovori s Márquezom;ENG 22;0
276;Gijom Muso: Devojka iz Bruklina;N-SRB3;0
277;Gilbert Adair: Zagonetni stilski incident;N-KNJ10X2;0
278;Giles Kristian: Bog osvete;LJUB2X2;0
279;Giles Kristian : Sinovi groma;LJUB8/9X2;0
280;Gillian Flynn: Mracna mjesta;N-KNJ2;0
281;Gillian Flynn: Oštri predmeti;KRIM23;0
282;Bruce Benderson : Rumunj;KNJ38;0
284;Dan Brown: Andeli i demoni;KRIM30;0
285;Goce Smilevski: Sestra Sigmunda Freuda;N-KNJ4X3;0
287;Gordana Frgacic: Zašto smo manje placene?;SK707;1
288;Gordon Dahlquist: Staklene knjige kradljivaca snova + Mracni svezak;STABLO1X3;0
289;Graça Aranha: Kanaan;HOBY7;0
291;R. Nuri Güntekin: Grmuša;187SK;0
292;Guido Snel: Batler gospodina Lugosija;KNJ5;0
293;Guillaume Musso: Možda nebo zna;NULL;0
294;Guillaume Musso: Zov andela;NULL;0
295;Guillermo Martinez: Polagana smrt Luciane B.;N-KNJ 30;0
296;Halid Al-Hamissi: Taksi;N-KNJ 10;0
297;Hannah Kent : Agnesina ispovijed;LJU9+N-LJU16;0
298;Harlan Coben: Netragom nestao;NULL;0
299;Harlan Coben: Nevini;KRIM4;0
300;Haywood Smith: Povratak u grad mimoza;KRIM4+220SK;0
301;Hilary Mantel: Wolf Hall;KRIM20;0
303;H. M. Ward: Slomljena 1,2 KOMPLET;STABLO 1;0
304;Holly McQueen : Glamurozni (dvostruki) život Isabel B.;LJUB19;0
305;Holly McQueen : Glamurozni modni život Isabel B.;LJUB11X2+LJUB10;0
306;Hong Ying : K-umijece ljubavi;KNJ15;0
307;Hong Ying: Šangajska konkubina;NLJUB23;0
308;S. Horvat I. Štiks: Pravo na pobunu;N-KNJ 10X2;0
309;Hrvoje Hitrec: Manijak;NOVAKI;0
310;Ian Fleming: Zrno utjehe;217DSK;0
311;Ian Rankin: Sveci biblije sjena;NULL;0
312;Igor Mandic: U sjeni ocvale glazbe;207SKX2;0
313;Imogen Edwards- Jones: Modni babilon;LJU20X4+LJUB11;0
314;Imogen Edwards-Jones : Pop Babilon;LJUB11X4;0
315;Ishmael Beah: Sutra je novi dan (sjecanja djecaka ratnika);HOBY 8;0
316;Ivana Simic-Bodrožic: Hotel Zagorje;NKNJ31/32X4;0
317;Ivana Simic Bodrožic: Prijelaz za divlje životinje;N-KNJ34;0
318;Ivana Šojat: Emet i druge price;NULL;0
319;Ivan Lovrenovic: Nestali u stoljecu;N-KNJ10;0
320;Ivo Brešan : Vražja utroba;NULL;0
321;Ivo Hergešic: Shakespeare Molieré Goethe;207SKX3;0
322;Ivo Klaric : Tata, kaj je to velika nužda?;KNJ14;0
323;James Ellroy: Crna dalija;KRI4+KRI13;0
324;James Ellroy: L. A. povjerljivo;KNJ113SK;0
325;James Ellroy: Veliko ništavilo;KRIM7;0
326;James Patterson: 1. žrtva;KRIM18;0
327;James Redfield: Celestinsko prorocanstvo - iskustveni vodic;STABLO1;0
328;James Redfield: Deseti uvid- održavanje vizije;STABLO 1;0
329;James W. Hall: Grubo nasukani;217SKX3;0
330;James W Hall: Zaljev tamnih voda;KRI4+221SK;0
331;Jane Costello: Djeveruše TU;LJUB 4;0
332;Jane Costello: Zamalo vjencani;LJUB4+LJUB5;0
333;Jane Johnson : Put soli;LJUB2X3+111SK;0
334;Jan Guillou: Arnovo naslijede;LJUB3;0
336;Jan Guillou: Kraljevstvo na kraju puta;LJUB 8X2;0
337;Jan Guillou : Triologija o križarima- Kraljevstvo na kraju puta;KRIM19X2;0
338;Jan Guillou: Put u Jeruzalem;KRIM19;0
339;Jan Guillou : Vitez templar;LJUB7;0
340;Jan Guillou : Trilogija o križarima- Vitez templar;KRIM19;0
341;Javier Marias: Zaljubljivanja;N-LJUB 3;0
342;Jáchym Topol : Nocni posao;KNJ5;0
343;Jean Carper: Kako sacuvati svoje cudesno srce;N-ALT11X2;0
344;Jean-Christophe Rufin: Krvavi Brazil;LJUB47;0
345;Jean Echenoz : Ravel;KNJ6;0
346;Jean Mattern : Kiralyeve toplice;KNJ5;0
347;Jed Rubenfeld: Tumacenje umorstva;KRIM5X2+220SKX2;0
348;Jennifer Crusie : Lažnjak;LJU2,LJU3+112SK+101SK;0
349;Jennifer Donnelly : Polarna svjetlost;218DSK+KRIM14x2;0
350;Jennifer Egan: Vrijeme je opak igrac;KRIM24;0
351;Jhumpa Lahiri: Ravnica;NLJUB4;0
352;Jill A. Davis : Ne bih sad o tome;KNJ25;0
353;Jilliane Hoffman: Slatke male stvari;KRIM20X2;0
354;Jill Mansell: Sve je u tracu;NULL;0
355;Joanne Harris : Cokolada;LJUB20X2+LJUB 11;0
356;Joanne Harris : Pet cetvrtina narance;LJUB11;0
357;Joanne Harris : Svete lude;LJUB20;0
358;Jochen Kelter: Hall ili izum tudine;KNJ5;0
359;Joe Abercrombie: Prvi zakon 1 - Krivnja oštrice;FA11X2+220DSK;0
360;Joel Kotkin: Povijest grada;RAT 20;0
361;Johannes Tralow: Rokselana;LJUB27;0
362;John Burdett: Bangkok 8;KRI4;0
363;John Dunning : Knjižarevo obecanje;KRI4, 220SKX2;0
364;John Green : Gradovi na papiru;REN;0
365;John Grisham: Cudotvorac;KRIM 17;0
367;John Grisham: Kralj milijunskih odšteta OTPIS IZ KNJIZNICE;KRIM17;0
368;John Grisham: Odmetnuta porota;KRIM17;0
369;John Grisham: Posrednik;KRIM4;0
370;John Grisham: Poziv;KRIM 17;0
371;John Grisham: Pravednik;KRIM17;0
372;John Grisham: Suradnik;KRIM21;0
373;John Grisham: Tvrtka;KRIM 17;0
374;John Grisham: Vrijeme ubijanja;KRIM 16;0
375;John Grisham: Vrijeme ubijanja;KRIM17;0
376;John Le Carre: Decko, dama, kralj, špijun;NULL;0
378;John Williams : Povratak u Cardiff;KNJ5;0
379;Jonathan Franzen: Sloboda;KRIM32;0
380;Jonathan Lethem: Brooklyn bez majke;NKNJ10+KRIM27;0
381;Jonathan Tropper : Sad te ostavljam;NULL;0
383;Josè Carlos Somoza: Clara i polusjena;KNJ6;0
384;Jose Carlos Somoza: Spilja ideja;NULL;0
385;Joseph O' Connor: Kauboji i Indijci;N-KNJ 5;0
386;Joseph Finder: Paranoja;KRIM4;0
387;Joseph Kanon: Los Alamos;KRIM7;0
388;Joseph O'Neill: Nigdjezemska;213SK;0
389;Joseph Roth: Prica o 1002 noci;LJUB24;0
390;Josh Bazell : Brži od smrti;KRIM27;0
391;Josip Pavicic: Hrvatska gibanica;207SK;0
392;Jovan Kristic: Profesor matematike;207SK;0
393;Jo Walton: Medu strancima;KRI24+KRI15;0
394;Joy Fielding: Na rubu ludila;KRIM18/19X2;0
395;Judith Merkle Riley: Kristalna kugla;LJUB9;0
396;Jules Hardy: Gospodin Candid;KRIM4X1+221SK;0
397;Julie Murphy : Gospodica Knedlica;LJUB9+SPD3;0
398;Julie Powell: Julie & Julia;LJU20;0
399;Julijana Matanovic: Kao da smo otac i kci;219DSKX2;0
400;S. J. Watson: Prije nego što zaspim;212DSK;0
401;Joshua Piven, David Borgenicht, Jennifer Worrick : Kad se dogodi najgore- prirucnik za sudare i seks;ALT1;0
403;Karen Joy Fowler : Klub citatelja Jane Austen;LJUB19+LJUB20;0
404;Karen Rose: Ne reci nikome;KRIM18;0
405;Karen Rose: Ti mi pripadaš;KRIM18/17/21;0
406;Kate Furnivall: Konkubinina tajna;LJU32X2+LJUB33;0
407;Kate Long: Prirucnik za loše majke;N-KNJ 30;0
408;Kate Quinn: Ljubavnica Rima;LJUB8, LJUB6;0
409;Kathleen MacMahon: Ovako prica završava;LJUB32,37,27;0
411;Ken Follett: Opasno bogatstvo;KRIM4;0
412;Khaled Hosseini: I odjeknuše gore;STABLO 1;0
413;Kiersten White: Paranormalno;FA18;0
414;Kim Edwards : Kci cuvara uspomena;LJU20-LJU19X2;0
415;Kiran Desai: Nasljede gubitka;KRIM6+218SKX;0
416;Kjell Westö: Privid 1938.;N-KNJ 6;0
417;Sara Maitland: Knjiga tišine - Nadahnuta meditacija o snazi i užitku koji nam pruža tišina;N-ALT 6;0
418;Lana Biondic : Nova knjiga Lane Biondic;KNJ36;0
419;Michael Heatley: Knjiga za tate TU;N-DJEC84;0
420;Kate Schuler: Kako postati vegan- zašto, kako i sve što vam treba kako biste lako postali vegan;NULL;0
421;Kristine Carlson : Ne mari za male stvari za žene;NULL;0
422;Krisztian Grecso: Dobro došao!;KNJ24;0
423;Lana Biondic : Život na visokoj peti;KNJ36;0
424;Laura Esquivel: Hitar kao žudnja;KRIM4+220SK;0
425;Laura Zigman : Muško blago;220DSK+LJUB19;0
426;Lauren Beukes: Djevojke koje sjaje;KRI24+N-LJU3;0
428;Lauren Kate : Kušnja;FA12X2;0
430;Lauren Kate : Potraga;FA12X2;0
431;Lauren Oliver : Pandemonij;LJUB3X6;0
432;Lauren Weisberger: Vrag nosi Pradu;LJUB20;0
433;Laurie R. King: O, Jeruzaleme;FA11X3+FA5;0
434;Lawrence Norfolk: U liku vepra;N-KNJ5X2;0
435;Lee Child: Zamka;KRIM21;0
436;Leif G. W. Persson: Tko ubije zmaja;NULL;0
437;Leo Držic : Magarcima pucaju rebra;207SK;0
438;Leslie Schnur : Šetacica pasa;LJU19+LJU11;0
439;Lidija Dimkovska: Skrivena kamera;N-KNJ 38;0
440;Lindsey Kelk : Volim Pariz;LJUB6;0
441;Lionel Davidson: Kolimski visovi;NULL;0
442;Lisa Jewell: Istina o Melody Browne;LJUB3X3+219DSK;0
443;Lisa Tucker : Citacica pjesama;LJUB20;0
444;L.Marklund,J.Petterson: Ubojice s razglednice;KRIM5;0
445;Liza Marklund: Studio sex;LJUB46/LJUB9;0
447;L. J. Smith: Vampirski dnevnici 1- Budenje;FAN5;0
448;Lori Gottlieb: Udaj se za njega- zašto izabrati Gospodina Dovoljno Dobrog?;LJUB24;0
449;Lori Nelson Spielman: Sve što sam željela;LJUB35;0
450;Louis de Bernieres : Dionisio Vivo i gospodar kokaina;LJU11+RENLJU11;0
451;Louis de Bernieres: Don Emmanuel i njegov puteni rat;LJU11X3,RENLJU;0
452;Louise L.Hay Cheryl Richardson : I vi možete imati izvanredan život;ALT2X3+SK707;1
453;Louise Miller : Slatke tajne života na selu;LJU5;0
454;Louis Gardel : Sulejman Velicanstveni 1-2 KOMPLET;STABLO1;0
455;Lucia Etxebarria: O svemu vidljivom i nevidljivom- roman o ljubavi i drugim lažima;KNJ29;0
456;Luc Besson: Arthur i Minimejci;N-DJE58;0
457;Luis Filipe Sarmento: Društveni život okultista;DUH 12+N-DUH10;0
459;Lydie Salvayre : Obican život;KNJ6;0
460;Lydie Salvayre : Portret pisca kao domace životinje;KNJ6;0
461;Ljubivoje Ršumovic: Zov tetreba;207SK;0
462;Ljudmila Ulicka: Veseli sprovod;NULL;0
